0.05,12,0,7150641942361577202,human,101
0.05,0,0,6083232639412180620,human,218
0.05,6,0,5287177638959484476,human,170
0.05,3,0,6755633910228000748,zombies,278
0.05,9,0,1634323078698654680,human,356
0.05,0,3,7429015212721736311,human,17
0.05,0,2,2558951063457553206,human,24
0.05,0,1,7382950148974529133,human,33
0.05,0,4,8517082737464852341,human,33
0.05,0,8,4683680561750205962,human,47
0.05,0,7,8448168669963628209,human,73
0.05,0,10,7082567870920304038,human,50
0.05,0,0,3421589035639967883,zombies,129
0.05,0,12,3798560651402310045,human,31
0.05,0,13,6836051486301277772,human,81
0.05,0,17,3227556848716815512,human,5
0.05,0,14,4641386974659867117,human,84
0.05,0,9,6812637429158938271,zombies,345
0.05,0,5,8500788529610469355,human,250
0.05,0,6,1612423811690876090,zombies,470
0.05,0,15,4201389824699860212,human,175
0.05,0,22,6244781238249108462,human,37
0.05,0,18,3537583437944392168,zombies,181
0.05,0,16,6214371936445101419,zombies,359
0.05,3,0,5325094741797620300,human,33
0.05,0,11,7679329927311092847,zombies,555
0.05,0,21,6507620766838518477,human,170
0.05,0,19,6848101647105908557,human,483
0.05,3,4,5980219515985194549,human,28
0.05,0,23,7516101358926691000,human,211
0.05,3,3,8477790549761563344,human,118
0.05,3,7,5699488459461363831,human,73
0.05,3,5,4551005406651977336,zombies,163
0.05,3,2,7735935806359695718,human,240
0.05,3,6,2510168198790336190,human,156
0.05,0,20,3732971757828490930,human,572
0.05,3,1,8440326763221643200,zombies,341
0.05,0,24,944355127186506601,human,740
0.05,3,10,8784031226602429583,human,122
0.05,3,14,7193635489236901835,human,99
0.05,3,11,734844476310343606,zombies,299
0.05,3,12,8783075212536928920,zombies,219
0.05,3,8,6219107007162556287,zombies,430
0.05,3,13,7202897652373546762,human,303
0.05,3,15,9136898686817209289,human,166
0.05,3,21,6280636581891780895,human,28
0.05,3,9,4395071977259278912,human,682
0.05,3,19,5263852616370777584,human,126
0.05,3,18,6757411181445107132,zombies,251
0.05,3,17,1004193126956280768,zombies,480
0.05,3,23,7449211421492093839,human,75
0.05,3,20,7587403058675563052,zombies,221
0.05,3,24,6874426986368146441,human,121
0.05,3,16,8323053105527544604,human,541
0.05,3,22,111226138544795427,human,429
0.05,6,3,2557984096049385595,human,108
0.05,6,0,2723802982063320853,human,224
0.05,6,7,6466259125701062578,human,58
0.05,6,8,9090392153401584167,human,72
0.05,6,1,788111650291477294,human,416
0.05,6,5,4195992883922376688,zombies,316
0.05,6,4,7602900855944385223,zombies,491
0.05,6,6,2106843246628458230,zombies,291
0.05,6,14,819932611686974586,human,39
0.05,6,11,8241752034575734484,human,111
0.05,6,15,4703971345307757985,human,73
0.05,6,16,8027758537156020349,human,59
0.05,6,9,1748278639780809946,human,436
0.05,6,19,6222769676854227528,human,47
0.05,6,10,1846450609494270811,human,1157
0.05,6,2,1916230148444969770,zombies,914
0.05,6,18,2646995424572962972,zombies,203
0.05,6,13,6248821993488107232,human,573
0.05,6,17,1143235084321206420,human,356
0.05,6,22,7034041016055522358,human,77
0.05,9,0,2787477865326991552,human,36
0.05,6,12,3032603781602183270,zombies,1138
0.05,6,21,4503932878224995813,zombies,314
0.05,6,20,5091529237176705035,zombies,331
0.05,9,5,1122651415967242486,human,26
0.05,9,2,2311775674797039505,human,133
0.05,6,23,8210294760950163778,zombies,236
0.05,6,24,4457364068994153980,human,242
0.05,9,4,8900133807024416351,zombies,305
0.05,9,3,8906827258840973078,human,332
0.05,9,6,4709712489484488630,zombies,245
0.05,9,11,1169272419226218318,human,26
0.05,9,9,1206710355544109216,zombies,156
0.05,9,7,986037412256588495,human,288
0.05,9,8,6905148653075603702,human,177
0.05,9,10,5990784402992692931,zombies,246
0.05,9,1,8679759652017271882,zombies,386
0.05,9,12,2951619460440511413,human,126
0.05,9,13,3237917404384451927,human,180
0.05,9,14,5096951864365398930,zombies,242
0.05,9,15,1188196612669514338,zombies,229
0.05,9,22,2799518652940071429,human,29
0.05,9,17,3721172064434811895,zombies,217
0.05,9,16,5517493164384499159,zombies,177
0.05,9,21,7128655331223291459,human,147
0.05,9,20,4881972738528056997,human,277
0.05,9,18,4976460316888411405,human,762
0.05,12,3,1959397438401346727,human,54
0.05,12,1,8385955949247702093,human,139
0.05,9,19,5885424368699435508,human,527
0.05,12,2,5667552561541193656,human,151
0.05,9,24,6879424125106871326,zombies,560
0.05,9,23,3515866464502683209,zombies,356
0.05,12,4,687927061645323000,zombies,187
0.05,12,0,6586516752857465595,zombies,421
0.05,12,8,1867164112511544143,human,158
0.05,12,13,6941239764426257718,human,29
0.05,12,12,4163215277079605672,human,63
0.05,12,7,1467535867710044458,zombies,230
